chrom	start	stop	gene	transcript	exon
1	27089464	27089776	ARID1A	NM_006015	exon8
1	27092712	27092857	ARID1A	NM_006015	exon9
1	27092948	27093057	ARID1A	NM_006015	exon10
1	27094281	27094490	ARID1A	NM_006015	exon11
1	27097610	27097817	ARID1A	NM_006015	exon12
1	27098991	27099123	ARID1A	NM_006015	exon13
1	27099303	27099478	ARID1A	NM_006015	exon14
1	27099837	27099987	ARID1A	NM_006015	exon15
1	27100071	27100208	ARID1A	NM_006015	exon16
1	27100293	27100389	ARID1A	NM_006015	exon17
1	27100820	27101711	ARID1A	NM_006015	exon18
1	27102068	27102198	ARID1A	NM_006015	exon19
1	27105514	27107247	ARID1A	NM_006015	exon20
1	36807356	36807574	STK40	NM_032017	exon12
1	36808965	36809049	STK40	NM_032017	exon11
1	36809461	36809580	STK40	NM_032017	exon10
1	36809721	36809865	STK40	NM_032017	exon9
1	36814301	36814416	STK40	NM_032017	exon8
1	36819965	36820017	STK40	NM_032017	exon7
1	36820807	36821034	STK40	NM_032017	exon6
1	36823840	36823983	STK40	NM_032017	exon5
1	36824338	36824423	STK40	NM_032017	exon4
1	36826822	36826933	STK40	NM_032017	exon3
1	36931958	36932428	CSF3R	NM_000760	exon17
1	36932831	36932912	CSF3R	NM_000760	exon16
1	36933159	36933252	CSF3R	NM_000760	exon15
1	36933423	36933563	CSF3R	NM_000760	exon14
1	36933676	36933822	CSF3R	NM_000760	exon13
1	36934757	36934858	CSF3R	NM_000760	exon12
1	36935253	36935441	CSF3R	NM_000760	exon11
1	36937034	36937247	CSF3R	NM_000760	exon10
1	36937667	36937740	CSF3R	NM_000760	exon9
1	36937839	36937992	CSF3R	NM_000760	exon8
1	36938118	36938287	CSF3R	NM_000760	exon7
1	36939036	36939223	CSF3R	NM_000760	exon6
1	36939365	36939488	CSF3R	NM_000760	exon5
1	36940978	36941274	CSF3R	NM_000760	exon4
1	36945034	36945097	CSF3R	NM_000760	exon3
1	40363044	40363642	MYCL1	NM_001033082	exon3
1	40366611	40367115	MYCL1	NM_001033082	exon2
1	40367480	40367560	MYCL1	NM_001033082	exon1
1	43803520	43803598	MPL	NM_005373	exon1
1	43803770	43803902	MPL	NM_005373	exon2
1	43804213	43804391	MPL	NM_005373	exon3
1	43804942	43805240	MPL	NM_005373	exon4
1	43805635	43805797	MPL	NM_005373	exon5
1	43806058	43806184	MPL	NM_005373	exon6
1	43812116	43812300	MPL	NM_005373	exon7
1	43812463	43812605	MPL	NM_005373	exon8
1	43814514	43814673	MPL	NM_005373	exon9
1	43814934	43815030	MPL	NM_005373	exon10
1	43817887	43817974	MPL	NM_005373	exon11
1	43818189	43818443	MPL	NM_005373	exon12
1	45794978	45795109	MUTYH	NM_001048171	exon16
1	45796188	45796229	MUTYH	NM_001048171	exon15
1	45796854	45797006	MUTYH	NM_001048171	exon14
1	45797092	45797228	MUTYH	NM_001048171	exon13
1	45797333	45797521	MUTYH	NM_001048171	exon12
1	45797695	45797758	MUTYH	NM_001048171	exon11
1	45797838	45797982	MUTYH	NM_001048171	exon10
1	45798063	45798160	MUTYH	NM_001048171	exon9
1	45798246	45798359	MUTYH	NM_001048171	exon8
1	45798435	45798506	MUTYH	NM_001048171	exon7
1	45798590	45798631	MUTYH	NM_001048171	exon6
1	45798769	45798842	MUTYH	NM_001048171	exon5
1	45798957	45798996	MUTYH	NM_001048171	exon4
1	45799085	45799233	MUTYH	NM_001048171	exon3
1	45800063	45800183	MUTYH	NM_001048171	exon2
1	45805891	45805926	MUTYH	NM_001048171	exon1
1	45805925	45805976	TOE1	NM_025077	exon1
1	46509345	46509543	PIK3R3	NM_003629	exon10
1	46511590	46511760	PIK3R3	NM_003629	exon9
1	46512223	46512297	PIK3R3	NM_003629	exon8
1	46521467	46521643	PIK3R3	NM_003629	exon7
1	46527601	46527743	PIK3R3	NM_003629	exon6
1	46531726	46531851	PIK3R3	NM_003629	exon5
1	46532583	46532763	PIK3R3	NM_003629	exon4
1	46543187	46543285	PIK3R3	NM_003629	exon3
1	46546314	46546422	PIK3R3	NM_003629	exon2
1	46597519	46597624	PIK3R3	NM_003629	exon1
1	46714078	46714080	RAD54L	NM_001142548	exon2
1	46714184	46714270	RAD54L	NM_001142548	exon3
1	46715672	46715791	RAD54L	NM_001142548	exon4
1	46724358	46724418	RAD54L	NM_001142548	exon5
1	46725636	46725771	RAD54L	NM_001142548	exon6
1	46726214	46726283	RAD54L	NM_001142548	exon7
1	46726399	46726687	RAD54L	NM_001142548	exon8
1	46726933	46727057	RAD54L	NM_001142548	exon9
1	46733131	46733281	RAD54L	NM_001142548	exon10
1	46736331	46736457	RAD54L	NM_001142548	exon11
1	46738138	46738212	RAD54L	NM_001142548	exon12
1	46738344	46738474	RAD54L	NM_001142548	exon13
1	46739027	46739137	RAD54L	NM_001142548	exon14
1	46739296	46739419	RAD54L	NM_001142548	exon15
1	46739810	46739888	RAD54L	NM_001142548	exon16
1	46740210	46740389	RAD54L	NM_001142548	exon17
1	46743489	46743652	RAD54L	NM_001142548	exon18
1	46743744	46743954	RAD54L	NM_001142548	exon19
1	51436041	51436169	CDKN2C	NM_078626	exon1
1	51439565	51439942	CDKN2C	NM_078626	exon2
1	59247747	59248742	JUN	NM_002228	exon1
1	65300245	65300340	JAK1	NM_002227	exon25
1	65301079	65301189	JAK1	NM_002227	exon24
1	65301781	65301898	JAK1	NM_002227	exon23
1	65303615	65303787	JAK1	NM_002227	exon22
1	65304148	65304272	JAK1	NM_002227	exon21
1	65305286	65305478	JAK1	NM_002227	exon20
1	65306928	65307022	JAK1	NM_002227	exon19
1	65307134	65307284	JAK1	NM_002227	exon18
1	65309747	65309898	JAK1	NM_002227	exon17
1	65310437	65310572	JAK1	NM_002227	exon16
1	65311196	65311323	JAK1	NM_002227	exon15
1	65312332	65312419	JAK1	NM_002227	exon14
1	65313215	65313358	JAK1	NM_002227	exon13
1	65316487	65316593	JAK1	NM_002227	exon12
1	65321192	65321381	JAK1	NM_002227	exon11
1	65323339	65323462	JAK1	NM_002227	exon10
1	65325788	65325945	JAK1	NM_002227	exon9
1	65330470	65330655	JAK1	NM_002227	exon8
1	65332549	65332891	JAK1	NM_002227	exon7
1	65334994	65335157	JAK1	NM_002227	exon6
1	65339053	65339206	JAK1	NM_002227	exon5
1	65344708	65344831	JAK1	NM_002227	exon4
1	65348960	65349158	JAK1	NM_002227	exon3
1	65351942	65351947	JAK1	NM_002227	exon2
1	71873129	71873253	NEGR1	NM_173808	exon7
1	72058500	72058651	NEGR1	NM_173808	exon6
1	72076709	72076829	NEGR1	NM_173808	exon5
1	72163691	72163822	NEGR1	NM_173808	exon4
1	72241855	72241980	NEGR1	NM_173808	exon3
1	72400762	72400994	NEGR1	NM_173808	exon2
1	72748002	72748177	NEGR1	NM_173808	exon1
1	78414451	78414459	FUBP1	NM_003902	exon20
1	78414840	78414985	FUBP1	NM_003902	exon19
1	78420940	78421014	FUBP1	NM_003902	exon18
1	78422257	78422385	FUBP1	NM_003902	exon17
1	78425869	78425948	FUBP1	NM_003902	exon16
1	78426029	78426180	FUBP1	NM_003902	exon15
1	78428455	78428615	FUBP1	NM_003902	exon14
1	78429259	78429400	FUBP1	NM_003902	exon13
1	78429747	78429847	FUBP1	NM_003902	exon12
1	78429939	78430041	FUBP1	NM_003902	exon11
1	78430331	78430432	FUBP1	NM_003902	exon10
1	78430555	78430653	FUBP1	NM_003902	exon9
1	78430753	78430915	FUBP1	NM_003902	exon8
1	78432378	78432435	FUBP1	NM_003902	exon7
1	78432568	78432639	FUBP1	NM_003902	exon6
1	78432733	78432785	FUBP1	NM_003902	exon5
1	78433311	78433350	FUBP1	NM_003902	exon4
1	78433849	78433887	FUBP1	NM_003902	exon3
1	78435609	78435699	FUBP1	NM_003902	exon2
1	78444569	78444688	FUBP1	NM_003902	exon1
1	85733310	85733665	BCL10	NM_003921	exon3
1	85736301	85736589	BCL10	NM_003921	exon2
1	85741979	85742035	BCL10	NM_003921	exon1
1	115251156	115251275	NRAS	NM_002524	exon5
1	115252190	115252349	NRAS	NM_002524	exon4
1	115256421	115256599	NRAS	NM_002524	exon3
1	115258671	115258781	NRAS	NM_002524	exon2
1	117690280	117690404	VTCN1	NM_024626	exon5
1	117695713	117695991	VTCN1	NM_024626	exon4
1	117699196	117699543	VTCN1	NM_024626	exon3
1	117712729	117712793	VTCN1	NM_024626	exon2
1	117753446	117753477	VTCN1	NM_024626	exon1
1	118165491	118166666	FAM46C	NM_017709	exon2
1	120457929	120459317	NOTCH2	NM_024408	exon34
1	120460288	120460385	NOTCH2	NM_024408	exon33
1	120461029	120461176	NOTCH2	NM_024408	exon32
1	120461935	120462236	NOTCH2	NM_024408	exon31
1	120462852	120463020	NOTCH2	NM_024408	exon30
1	120464336	120464432	NOTCH2	NM_024408	exon29
1	120464859	120465069	NOTCH2	NM_024408	exon28
1	120465259	120465401	NOTCH2	NM_024408	exon27
1	120466260	120466607	NOTCH2	NM_024408	exon26
1	120467928	120468433	NOTCH2	NM_024408	exon25
1	120469122	120469234	NOTCH2	NM_024408	exon24
1	120471599	120471835	NOTCH2	NM_024408	exon23
1	120478095	120478227	NOTCH2	NM_024408	exon22
1	120479905	120480089	NOTCH2	NM_024408	exon21
1	120480480	120480633	NOTCH2	NM_024408	exon20
1	120483178	120483379	NOTCH2	NM_024408	exon19
1	120484149	120484377	NOTCH2	NM_024408	exon18
1	120491037	120491189	NOTCH2	NM_024408	exon17
1	120491630	120491749	NOTCH2	NM_024408	exon16
1	120493347	120493460	NOTCH2	NM_024408	exon15
1	120496166	120496311	NOTCH2	NM_024408	exon14
1	120497663	120497855	NOTCH2	NM_024408	exon13
1	120502015	120502125	NOTCH2	NM_024408	exon12
1	120506197	120506430	NOTCH2	NM_024408	exon11
1	120508076	120508189	NOTCH2	NM_024408	exon10
1	120508999	120509112	NOTCH2	NM_024408	exon9
1	120510056	120510244	NOTCH2	NM_024408	exon8
1	120510700	120510855	NOTCH2	NM_024408	exon7
1	120512134	120512367	NOTCH2	NM_024408	exon6
1	120529583	120529705	NOTCH2	NM_024408	exon5
1	120539620	120539955	NOTCH2	NM_024408	exon4
1	120547952	120548211	NOTCH2	NM_024408	exon3
1	120572529	120572610	NOTCH2	NM_024408	exon2
1	120611948	120612020	NOTCH2	NM_024408	exon1
1	149784826	149785236	HIST2H3D	NM_001123375	exon1
1	149812319	149812729	HIST2H3C	NM_021059	exon1
1	150549851	150549967	MCL1	NM_021960	exon3
1	150550720	150550967	MCL1	NM_021960	exon2
1	150551319	150552006	MCL1	NM_021960	exon1
1	155870179	155870409	RIT1	NM_006912	exon6
1	155874102	155874293	RIT1	NM_006912	exon5
1	155874522	155874595	RIT1	NM_006912	exon4
1	155880241	155880297	RIT1	NM_006912	exon3
1	155880447	155880552	RIT1	NM_006912	exon2
1	156811904	156812063	INSRR	NM_014215	exon19
1	156830727	156830938	NTRK1	NM_002529	exon1
1	156834146	156834220	NTRK1	NM_002529	exon2
1	156834520	156834591	NTRK1	NM_002529	exon3
1	156836702	156836770	NTRK1	NM_002529	exon4
1	156837896	156838041	NTRK1	NM_002529	exon5
1	156838297	156838439	NTRK1	NM_002529	exon6
1	156841415	156841547	NTRK1	NM_002529	exon7
1	156843425	156843751	NTRK1	NM_002529	exon8
1	156844175	156844192	NTRK1	NM_002529	exon9
1	156844363	156844418	NTRK1	NM_002529	exon10
1	156844698	156844800	NTRK1	NM_002529	exon11
1	156845312	156845458	NTRK1	NM_002529	exon12
1	156845872	156846002	NTRK1	NM_002529	exon13
1	156846192	156846364	NTRK1	NM_002529	exon14
1	156848914	156849154	NTRK1	NM_002529	exon15
1	156849791	156849949	NTRK1	NM_002529	exon16
1	156851249	156851434	NTRK1	NM_002529	exon17
1	161284196	161284215	SDHC	NM_003001	exon1
1	161293404	161293460	SDHC	NM_003001	exon2
1	161298186	161298287	SDHC	NM_003001	exon3
1	161310384	161310445	SDHC	NM_003001	exon4
1	161326467	161326630	SDHC	NM_003001	exon5
1	161332119	161332223	SDHC	NM_003001	exon6
1	162688854	162688935	DDR2	NM_006182	exon3
1	162722885	162722987	DDR2	NM_006182	exon4
1	162724414	162724645	DDR2	NM_006182	exon5
1	162724946	162725093	DDR2	NM_006182	exon6
1	162725454	162725559	DDR2	NM_006182	exon7
1	162729586	162729769	DDR2	NM_006182	exon8
1	162731001	162731244	DDR2	NM_006182	exon9
1	162735791	162735853	DDR2	NM_006182	exon10
1	162737019	162737149	DDR2	NM_006182	exon11
1	162740092	162740302	DDR2	NM_006182	exon12
1	162741814	162742037	DDR2	NM_006182	exon13
1	162743259	162743386	DDR2	NM_006182	exon14
1	162745442	162745633	DDR2	NM_006182	exon15
1	162745926	162746160	DDR2	NM_006182	exon16
1	162748370	162748519	DDR2	NM_006182	exon17
1	162749902	162750036	DDR2	NM_006182	exon18
1	175914289	175914306	RFWD2	NM_022457	exon20
1	175916331	175916375	RFWD2	NM_022457	exon19
1	175956079	175956239	RFWD2	NM_022457	exon18
1	175957424	175957548	RFWD2	NM_022457	exon17
1	175958498	175958615	RFWD2	NM_022457	exon16
1	175996708	175996824	RFWD2	NM_022457	exon15
1	176012322	176012403	RFWD2	NM_022457	exon14
1	176012846	176012954	RFWD2	NM_022457	exon13
1	176015317	176015460	RFWD2	NM_022457	exon12
1	176050288	176050423	RFWD2	NM_022457	exon11
1	176054912	176055026	RFWD2	NM_022457	exon10
1	176085760	176085817	RFWD2	NM_022457	exon9
1	176104146	176104222	RFWD2	NM_022457	exon8
1	176105624	176105683	RFWD2	NM_022457	exon7
1	176118142	176118210	RFWD2	NM_022457	exon6
1	176132005	176132124	RFWD2	NM_022457	exon5
1	176132951	176133027	RFWD2	NM_022457	exon4
1	176145046	176145143	RFWD2	NM_022457	exon3
1	176153769	176153828	RFWD2	NM_022457	exon2
1	176175708	176176114	RFWD2	NM_022457	exon1
1	193091331	193091461	CDC73	NM_024529	exon1
1	193094242	193094347	CDC73	NM_024529	exon2
1	193099304	193099373	CDC73	NM_024529	exon3
1	193104521	193104583	CDC73	NM_024529	exon4
1	193104667	193104719	CDC73	NM_024529	exon5
1	193107215	193107303	CDC73	NM_024529	exon6
1	193110980	193111196	CDC73	NM_024529	exon7
1	193116997	193117095	CDC73	NM_024529	exon8
1	193119434	193119512	CDC73	NM_024529	exon9
1	193121510	193121574	CDC73	NM_024529	exon10
1	193172925	193172982	CDC73	NM_024529	exon11
1	193181195	193181230	CDC73	NM_024529	exon12
1	193181520	193181607	CDC73	NM_024529	exon13
1	193202123	193202284	CDC73	NM_024529	exon14
1	193205386	193205486	CDC73	NM_024529	exon15
1	193218860	193219001	CDC73	NM_024529	exon16
1	193219806	193219842	CDC73	NM_024529	exon17
1	204494647	204494724	MDM4	NM_002393	exon2
1	204495488	204495562	MDM4	NM_002393	exon3
1	204499812	204499945	MDM4	NM_002393	exon4
1	204501319	204501374	MDM4	NM_002393	exon5
1	204506558	204506625	MDM4	NM_002393	exon6
1	204507337	204507436	MDM4	NM_002393	exon7
1	204511912	204512072	MDM4	NM_002393	exon8
1	204513663	204513812	MDM4	NM_002393	exon9
1	204515925	204516005	MDM4	NM_002393	exon10
1	204518241	204518810	MDM4	NM_002393	exon11
1	206646571	206646657	IKBKE	NM_014002	exon3
1	206647674	206647814	IKBKE	NM_014002	exon4
1	206648208	206648337	IKBKE	NM_014002	exon5
1	206649524	206649705	IKBKE	NM_014002	exon6
1	206650021	206650181	IKBKE	NM_014002	exon7
1	206651092	206651202	IKBKE	NM_014002	exon8
1	206651503	206651682	IKBKE	NM_014002	exon9
1	206652286	206652476	IKBKE	NM_014002	exon10
1	206653213	206653277	IKBKE	NM_014002	exon11
1	206653365	206653456	IKBKE	NM_014002	exon12
1	206653790	206653876	IKBKE	NM_014002	exon13
1	206658334	206658409	IKBKE	NM_014002	exon14
1	206658531	206658643	IKBKE	NM_014002	exon15
1	206661251	206661327	IKBKE	NM_014002	exon16
1	206664152	206664191	IKBKE	NM_014002	exon17
1	206664981	206665082	IKBKE	NM_014002	exon18
1	206666356	206666452	IKBKE	NM_014002	exon19
1	206666599	206666711	IKBKE	NM_014002	exon20
1	206667253	206667324	IKBKE	NM_014002	exon21
1	206669445	206669478	IKBKE	NM_014002	exon22
1	206941981	206942073	IL10	NM_000572	exon5
1	206943174	206943239	IL10	NM_000572	exon4
1	206944252	206944404	IL10	NM_000572	exon3
1	206944701	206944760	IL10	NM_000572	exon2
1	206945616	206945780	IL10	NM_000572	exon1
1	226252053	226252180	H3F3A	NM_002107	exon2
1	226253357	226253510	H3F3A	NM_002107	exon3
1	226259052	226259180	H3F3A	NM_002107	exon4
1	226549161	226549242	PARP1	NM_001618	exon23
1	226549670	226549784	PARP1	NM_001618	exon22
1	226550800	226550861	PARP1	NM_001618	exon21
1	226551644	226551771	PARP1	NM_001618	exon20
1	226552703	226552855	PARP1	NM_001618	exon19
1	226553655	226553753	PARP1	NM_001618	exon18
1	226555181	226555309	PARP1	NM_001618	exon17
1	226555900	226556022	PARP1	NM_001618	exon16
1	226558135	226558218	PARP1	NM_001618	exon15
1	226561927	226562055	PARP1	NM_001618	exon14
1	226564809	226565004	PARP1	NM_001618	exon13
1	226566843	226566975	PARP1	NM_001618	exon12
1	226567274	226567342	PARP1	NM_001618	exon11
1	226567623	226567865	PARP1	NM_001618	exon10
1	226568769	226568909	PARP1	NM_001618	exon9
1	226570737	226570884	PARP1	NM_001618	exon8
1	226573205	226573381	PARP1	NM_001618	exon7
1	226574027	226574143	PARP1	NM_001618	exon6
1	226576357	226576456	PARP1	NM_001618	exon5
1	226578111	226578325	PARP1	NM_001618	exon4
1	226579900	226580015	PARP1	NM_001618	exon3
1	226589915	226590080	PARP1	NM_001618	exon2
1	226595511	226595630	PARP1	NM_001618	exon1
1	228612616	228613026	HIST3H3	NM_003493	exon1
1	241661128	241661270	FH	NM_000143	exon10
1	241663737	241663890	FH	NM_000143	exon9
1	241665743	241665870	FH	NM_000143	exon8
1	241667342	241667545	FH	NM_000143	exon7
1	241669303	241669468	FH	NM_000143	exon6
1	241671903	241672085	FH	NM_000143	exon5
1	241675267	241675443	FH	NM_000143	exon4
1	241676903	241677013	FH	NM_000143	exon3
1	241680482	241680616	FH	NM_000143	exon2
1	241682891	241683022	FH	NM_000143	exon1
1	243663058	243663087	SDCCAG8	NM_006642	exon18
1	243668551	243668636	AKT3	NM_005465	exon13
1	243675626	243675728	AKT3	NM_005465	exon12
1	243708812	243708899	AKT3	NM_005465	exon11
1	243716031	243716245	AKT3	NM_005465	exon10
1	243727022	243727150	AKT3	NM_005465	exon9
1	243736228	243736350	AKT3	NM_005465	exon8
1	243776973	243777041	AKT3	NM_005465	exon7
1	243778398	243778463	AKT3	NM_005465	exon6
1	243800913	243801044	AKT3	NM_005465	exon5
1	243809195	243809339	AKT3	NM_005465	exon4
1	243828074	243828185	AKT3	NM_005465	exon3
1	243858893	243859018	AKT3	NM_005465	exon2
1	244006427	244006472	AKT3	NM_005465	exon1
2	16082187	16082976	MYCN	NM_005378	exon2
2	16085615	16086219	MYCN	NM_005378	exon3
2	25457148	25457289	DNMT3A	NM_022552	exon23
2	25458576	25458694	DNMT3A	NM_022552	exon22
2	25459805	25459874	DNMT3A	NM_022552	exon21
2	25461999	25462084	DNMT3A	NM_022552	exon20
2	25463171	25463319	DNMT3A	NM_022552	exon19
2	25463509	25463599	DNMT3A	NM_022552	exon18
2	25464431	25464576	DNMT3A	NM_022552	exon17
2	25466767	25466851	DNMT3A	NM_022552	exon16
2	25467024	25467207	DNMT3A	NM_022552	exon15
2	25467409	25467521	DNMT3A	NM_022552	exon14
2	25468122	25468201	DNMT3A	NM_022552	exon13
2	25468889	25468933	DNMT3A	NM_022552	exon12
2	25469029	25469178	DNMT3A	NM_022552	exon11
2	25469489	25469645	DNMT3A	NM_022552	exon10
2	25469920	25470027	DNMT3A	NM_022552	exon9
2	25470460	25470618	DNMT3A	NM_022552	exon8
2	25470906	25471121	DNMT3A	NM_022552	exon7
2	25497810	25497956	DNMT3A	NM_022552	exon6
2	25498369	25498412	DNMT3A	NM_022552	exon5
2	25505310	25505580	DNMT3A	NM_022552	exon4
2	25523008	25523112	DNMT3A	NM_022552	exon3
2	25536782	25536853	DNMT3A	NM_022552	exon2
2	25964898	25967345	ASXL2	NM_018263	exon12
2	25972565	25973282	ASXL2	NM_018263	exon11
2	25976403	25976508	ASXL2	NM_018263	exon10
2	25978887	25978983	ASXL2	NM_018263	exon9
2	25982351	25982514	ASXL2	NM_018263	exon8
2	25990452	25990595	ASXL2	NM_018263	exon7
2	25991611	25991737	ASXL2	NM_018263	exon6
2	25994309	25994409	ASXL2	NM_018263	exon5
2	26022254	26022404	ASXL2	NM_018263	exon4
2	26029098	26029209	ASXL2	NM_018263	exon3
2	26068350	26068432	ASXL2	NM_018263	exon2
2	26101035	26101091	ASXL2	NM_018263	exon1
2	27009065	27009164	CENPA	NM_001809	exon1
2	27014999	27015108	CENPA	NM_001809	exon2
2	27015624	27015701	CENPA	NM_001809	exon3
2	27016013	27016147	CENPA	NM_001809	exon4
2	29416090	29416788	ALK	NM_004304	exon29
2	29419636	29419726	ALK	NM_004304	exon28
2	29420408	29420542	ALK	NM_004304	exon27
2	29430037	29430138	ALK	NM_004304	exon26
2	29432652	29432744	ALK	NM_004304	exon25
2	29436850	29436947	ALK	NM_004304	exon24
2	29443572	29443701	ALK	NM_004304	exon23
2	29445210	29445274	ALK	NM_004304	exon22
2	29445383	29445473	ALK	NM_004304	exon21
